filename,len_in_sec,MOS_SSL
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ032-0101_0-1.wav,1.0,4.6750913
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ014-0289_5-6.wav,1.0,4.0837393
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ034-0158_5-6.wav,1.0,4.4820857
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ011-0201_2-3.wav,1.0,3.5134196
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ030-0163_5-6.wav,1.0,4.4565535
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ017-0204_1-2.wav,1.0,3.701498
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ042-0097_4-5.wav,1.0,3.5155687
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ018-0129_5-6.wav,1.0,3.8668952
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ038-0142_6-7.wav,1.0,4.239296
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ022-0036_0-1.wav,1.0,3.3505826
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ018-0047_5-6.wav,1.0,3.4120288
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ009-0087_1-2.wav,1.0,4.4716663
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ038-0037_1-2.wav,1.0,3.0215733
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ001-0185_0-1.wav,1.0,4.265654
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ014-0106_1-2.wav,1.0,3.7776308
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ039-0087_3-4.wav,1.0,2.5701797
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ002-0337_3-4.wav,1.0,4.2096043
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ006-0090_1-2.wav,1.0,3.872446
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ029-0166_3-4.wav,1.0,4.3521514
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ015-0114_4-5.wav,1.0,4.4606667
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ008-0091_5-6.wav,1.0,4.227563
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ009-0304_2-3.wav,1.0,3.8287015
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ045-0075_0-1.wav,1.0,4.0290585
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ028-0398_1-2.wav,1.0,4.295961
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ049-0118_2-3.wav,1.0,3.7474868
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ008-0227_0-1.wav,1.0,4.0703225
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ037-0266_8-9.wav,1.0,4.5224347
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ045-0095_0-1.wav,1.0,3.5574021
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ017-0211_5-6.wav,1.0,4.1738586
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ049-0196_1-2.wav,1.0,4.2117853
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ041-0146_3-4.wav,1.0,4.516019
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ033-0071_5-6.wav,1.0,3.6610236
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ019-0020_0-1.wav,1.0,3.9943357
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ026-0100_6-7.wav,1.0,4.07426
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ031-0196_3-4.wav,1.0,4.3430634
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ029-0105_3-4.wav,1.0,3.9906454
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ027-0082_0-1.wav,1.0,3.933416
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ021-0157_0-1.wav,1.0,3.3262148
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ004-0038_2-3.wav,1.0,4.5354404
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ036-0196_0-1.wav,1.0,4.117277
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ032-0149_5-6.wav,1.0,3.728788
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ010-0125_6-7.wav,1.0,4.66066
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ031-0178_2-3.wav,1.0,4.695329
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ037-0121_3-4.wav,1.0,4.736745
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ010-0020_1-2.wav,1.0,3.6022189
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ044-0064_2-3.wav,1.0,4.078494
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ017-0198_1-2.wav,1.0,4.7482934
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ001-0009_2-3.wav,1.0,4.227301
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ047-0076_4-5.wav,1.0,3.2337637
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ010-0114_6-7.wav,1.0,4.190998
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ005-0246_3-4.wav,1.0,4.0127487
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ037-0140_3-4.wav,1.0,4.239489
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ012-0287_6-7.wav,1.0,4.475999
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ050-0115_2-3.wav,1.0,4.572337
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ044-0134_5-6.wav,1.0,4.531758
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ041-0109_5-6.wav,1.0,3.5212703
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ016-0162_2-3.wav,1.0,3.2682655
/mnt/md1/user_wago/data/LJSpeech-1.1/output_1s/LJ031-0093_2-3.wav,1.0,3.8167846
