filename,len_in_sec,MOS_SSL
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ002-0268_seg_5_snr_24_1-2.wav,1.0,3.4062796
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ048-0098_seg_5_snr_24_4-5.wav,1.0,3.6745076
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ002-0138_seg_1_snr_3_3-4.wav,1.0,4.048908
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ016-0026_seg_3_snr_17_3-4.wav,1.0,4.618977
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ018-0247_seg_1_snr_11_6-7.wav,1.0,1.7822511
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ045-0080_seg_3_snr_5_2-3.wav,1.0,4.11203
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ044-0079_seg_5_snr_16_5-6.wav,1.0,3.940647
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ005-0120_seg_2_snr_5_2-3.wav,1.0,2.0639606
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ011-0267_seg_2_snr_17_1-2.wav,1.0,3.8492417
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ014-0211_seg_3_snr_11_1-2.wav,1.0,3.9114707
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ004-0076_seg_2_snr_14_7-8.wav,1.0,4.509105
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ002-0331_seg_4_snr_3_4-5.wav,1.0,0.500623
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ006-0143_seg_3_snr_16_0-1.wav,1.0,3.6569843
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ011-0260_seg_2_snr_12_5-6.wav,1.0,3.8172357
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ049-0117_seg_3_snr_21_2-3.wav,1.0,3.2036076
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ022-0015_seg_1_snr_11_3-4.wav,1.0,3.5623534
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ044-0222_seg_5_snr_19_3-4.wav,1.0,3.3540297
/mnt/md1/user_wago/data/LJSpeech-1.1/distortion/random_split_1s/LJ006-0129_seg_4_snr_15_2-3.wav,1.0,1.5204915
